name,source_type
Breast Neoplasms,2
Hypertension,2
Coronary Artery Disease,2
Lung Neoplasms,2
Myocardial Infarction,2
HIV Infections,2
Coronary Disease,2
Asthma,2
Adenocarcinoma,2
Dementia,2
Prostatic Neoplasms,2
Skin Neoplasms,2
Obesity,2
Carcinoma-Squamous Cell,2
Pain,2
Liver Neoplasms,2
Arthritis-Rheumatoid,2
Schizophrenia,2
Diabetes Mellitus-Type 2,2
Brain Neoplasms,2
Heart Failure,2
Postoperative Complications,2
Kidney Failure-Chronic,2
Alzheimer Disease,2
Diabetes Mellitus,2
Stomach Neoplasms,2
Diabetes Mellitus-Type 1,2
Ovarian Neoplasms,2
Melanoma,2
Kidney Diseases,2
Myocardial Ischemia,2
Depressive Disorder,2
Epilepsy,2
Carcinoma,2
Cerebral Infarction,2
Tuberculosis-Pulmonary,2
Acquired Immunodeficiency Syndrome,2
Uterine Cervical Neoplasms,2
Lung Diseases,2
Kidney Neoplasms,2
Alcoholism,2
Colorectal Neoplasms,2
Carcinoma-Hepatocellular,2
Colonic Neoplasms,2
Parkinson Disease,2
Bacterial Infections,2
Liver Diseases,2
Pancreatic Neoplasms,2
Lupus Erythematosus-Systemic,2
Dog Diseases,2
Arteriosclerosis,2
Liver Cirrhosis,2
Arrhythmias-Cardiac,2
Skin Diseases,2
Brain Diseases,2
Leukemia,2
Multiple Sclerosis,2
Substance-Related Disorders,2
Urinary Bladder Neoplasms,2
Inflammation,2
Heart Diseases,2
Pregnancy Complications,2
Lymphoma,2
Cognition Disorders,2
Thrombosis,2
Head and Neck Neoplasms,2
Stroke,2
Autoimmune Diseases,2
Cattle Diseases,2
Pancreatitis,2
Bone Neoplasms,2
Brain Injuries,2
Osteoporosis,2
Sepsis,2
Brain Ischemia,2
Thyroid Neoplasms,2
Burns,2
Hepatitis C,2
Diabetes Mellitus-Experimental,2
Cerebrovascular Disorders,2
Adenoma,2
Cystic Fibrosis,2
Multiple Myeloma,2
Neoplasms-Experimental,2
Tuberculosis,2
Hodgkin Disease,2
