name,source,source_type
Abdominal Tenderness,CHAT ,1
Acne,CHAT ,1
Aggressiveness,CHAT ,1
Aimless Movement,CHAT ,1
Anemia,CHAT ,1
Anxiety,CHAT ,1
Anxious Mood,CHAT ,1
Arm Pain,CHAT ,1
Aversion To Food Or Drink,CHAT ,1
Backache,CHAT ,1
Bee Sting,CHAT ,1
Big Toe Pain,CHAT ,1
Blackhead,CHAT ,1
Blanching Of Skin,CHAT ,1
Bleeds Easily,CHAT ,1
Blocked Nose,CHAT ,1
Blood-Tinged Sputum,CHAT ,1
Boils,CHAT ,1
Bone Pain,CHAT ,1
Bone Tenderness,CHAT ,1
Bowed Legs,CHAT ,1
Breast Nodule,CHAT ,1
Breast Tenderness,CHAT ,1
Breathlessness,CHAT ,1
Bruising Around The Eyes,CHAT ,1
Burning Sensation during urination,CHAT ,1
Calf Pain,CHAT ,1
Cataract,CHAT ,1
Catatonic State,CHAT ,1
Change In The Way Food Tastes,CHAT ,1
Changes In Skin,CHAT ,1
Choking,CHAT ,1
Chronic Pain,CHAT ,1
Claw Hand,CHAT ,1
Cleft Palate And Lip,CHAT ,1
Clubfoot,CHAT ,1
Clumsy,CHAT ,1
Cold,CHAT ,1
Cold Sweat,CHAT ,1
Color Vision Deficiency,CHAT ,1
Comatose,CHAT ,1
Conjunctivitis,CHAT ,1
Contusion,CHAT ,1
Convulsions,CHAT ,1
Corneal Abrasion,CHAT ,1
Corns,CHAT ,1
Coughing,CHAT ,1
Cysts,CHAT ,1
Decreased Alertness,CHAT ,1
Dehydration,CHAT ,1
Delusions,CHAT ,1
Dementia,CHAT ,1
Depression,CHAT ,1
Dermatitis,CHAT ,1
Developmental Delay,CHAT ,1
Diarrhoea,CHAT ,1
Difficulty Concentrating,CHAT ,1
Difficulty Sleeping,CHAT ,1
Difficulty Swallowing,CHAT ,1
Disorders Of Communication,CHAT ,1
Dizzy When Standing Up,CHAT ,1
Drooling,CHAT ,1
Drowsiness,CHAT ,1
Drug Abuse,CHAT ,1
Dry Hair,CHAT ,1
Dry Mouth,CHAT ,1
Dry Skin,CHAT ,1
Dryness Of Eye,CHAT ,1
Ear Infection,CHAT ,1
Episodes Of Overeating,CHAT ,1
Erection Too Short-Lived,CHAT ,1
Euphoric Mood,CHAT ,1
Eye Infection,CHAT ,1
Eyelid Drooping,CHAT ,1
Eyelid Spasm,CHAT ,1
Failure To Thrive,CHAT ,1
Feeling Bloated,CHAT ,1
Feeling Full After Eating A Small Amount,CHAT ,1
Feeling Irritable,CHAT ,1
Feeling Sad,CHAT ,1
Feels Hot To Touch,CHAT ,1
Feet Clawing,CHAT ,1
Fertility Problem,CHAT ,1
Fidgety,CHAT ,1
Finger Clubbing,CHAT ,1
Finger Numbness,CHAT ,1
Fingernail Cyanosis,CHAT ,1
Flat Foot,CHAT ,1
Fluid In Peritoneal Cavity,CHAT ,1
Flushed Complexion,CHAT ,1
Foot Pain,CHAT ,1
Foul Smelling Stool,CHAT ,1
Fractures,CHAT ,1
Frequent Sneezing,CHAT ,1
Furuncle,CHAT ,1
Gait Abnormality,CHAT ,1
Gap Between Cranial Sutures,CHAT ,1
Generalised Muscle Pain,CHAT ,1
Gingival Hemorrhage,CHAT ,1
Goiter,CHAT ,1
Grand Mal Seizure,CHAT ,1
Grey Skin,CHAT ,1
Growth Retardation,CHAT ,1
Guilt Feelings,CHAT ,1
Hair Loss,CHAT ,1
Hand Pain,CHAT ,1
Heart Flutter,CHAT ,1
Urine with blood,CHAT ,1
Vomiting with blood,CHAT ,1
Hemorrhage- Gastrointestinal,CHAT ,1
High Blood Pressure,CHAT ,1
High-Pitched Moan,CHAT ,1
Hip Pain,CHAT ,1
Hip Stiffness,CHAT ,1
Hot Flushes,CHAT ,1
Enlargement Of Male Breast,CHAT ,1
Increased Hunger,CHAT ,1
Increased Skin Pigmentation,CHAT ,1
Increased Tendency To Bruise,CHAT ,1
Indigestion,CHAT ,1
Infertility,CHAT ,1
Inguinal Mass,CHAT ,1
Inguinal Pain,CHAT ,1
Insomnia,CHAT ,1
Involuntary Movements,CHAT ,1
Irregular Heart Rhythms,CHAT ,1
Irregular Sleep-Wake Pattern,CHAT ,1
Irritable Mood,CHAT ,1
Itching,CHAT ,1
Itchy Ear,CHAT ,1
Itchy Eyes,CHAT ,1
Itchy Foot,CHAT ,1
Joint Pain,CHAT ,1
Joints Warm,CHAT ,1
Deformity Of Spine,CHAT ,1
Labored Respiration,CHAT ,1
Lack Of Appetite,CHAT ,1
Lack Of Energy,CHAT ,1
Lassitude,CHAT ,1
Lazy Eye,CHAT ,1
Leg Ulcers,CHAT ,1
Lightheadedness,CHAT ,1
Limb Deformity- Congenital,CHAT ,1
Limb Numbness,CHAT ,1
Limited Range Of Motion,CHAT ,1
Lip Chapping,CHAT ,1
Lip Cyanosis,CHAT ,1
Lip Pain,CHAT ,1
Liver Enlarged,CHAT ,1
Loss Of Hair,CHAT ,1
Loss Of Muscle Function,CHAT ,1
Loss Of Perception Of Sensory Stimuli,CHAT ,1
Loss Of Vision In One Half Of The Visual Field,CHAT ,1
Low Birth Weights,CHAT ,1
Low Blood Pressure,CHAT ,1
Lumbar Back Pain,CHAT ,1
Lump In Eyelid,CHAT ,1
Lump In Stomach Area,CHAT ,1
Memory Loss,CHAT ,1
Menstrual Irregularity,CHAT ,1
Menstruation Excessive,CHAT ,1
Milk Intolerance,CHAT ,1
Misty Vision,CHAT ,1
Mouth Sores,CHAT ,1
Mouth Ulcers,CHAT ,1
Muddled,CHAT ,1
Multiple Skin Tags,CHAT ,1
Muscle Contracture,CHAT ,1
Muscle Cramps,CHAT ,1
Muscle Wasting,CHAT ,1
Nail Problems,CHAT ,1
Nappy Rash,CHAT ,1
Nasal Drainage,CHAT ,1
Nasal Flaring,CHAT ,1
Nasal Irritation,CHAT ,1
Neck Mass,CHAT ,1
Nervousness,CHAT ,1
Nightmares,CHAT ,1
Nipple Itchy,CHAT ,1
Nosebleed,CHAT ,1
Not Feeling Well,CHAT ,1
Not Having A Period,CHAT ,1
Not Hungry,CHAT ,1
Numb Hands,CHAT ,1
Numbness,CHAT ,1
Numbness Of Foot,CHAT ,1
Numbness Of Limbs,CHAT ,1
Numbness/Tingling In Hands/Feet,CHAT ,1
Ocular Pain,CHAT ,1
Olfactory Impairment,CHAT ,1
Orientation Poor,CHAT ,1
Pain Around The Eye,CHAT ,1
Pain In Breast,CHAT ,1
Pain In Fingers,CHAT ,1
Pain In More Than One Joint,CHAT ,1
Pain In Neck,CHAT ,1
Pain In The Area Around The Anus,CHAT ,1
Pain In The Lower Jaw,CHAT ,1
Pain With Intercourse,CHAT ,1
Painful Ankle,CHAT ,1
Painful Elbow,CHAT ,1
Painful Gums,CHAT ,1
Painful Hips,CHAT ,1
Painful Leg,CHAT ,1
Painful Periods,CHAT ,1
Painful Respiration,CHAT ,1
Painful Swallowing,CHAT ,1
Painful Urination,CHAT ,1
Pale Stools,CHAT ,1
Panic Attacks,CHAT ,1
Papule,CHAT ,1
Passing Gas,CHAT ,1
Penile Pain,CHAT ,1
Personality Change,CHAT ,1
Pigmented Skin Lesion,CHAT ,1
Poor Balance,CHAT ,1
Poor Feeding Of Newborn,CHAT ,1
Poor Memory,CHAT ,1
Poor Muscle Tone,CHAT ,1
Poor Night Vision,CHAT ,1
Posture Abnormal,CHAT ,1
Preterm Labor,CHAT ,1
Problem Behavior,CHAT ,1
Problems With Sexual Interest Or Activity,CHAT ,1
Problems With Urination,CHAT ,1
Prominent Frontal Ridges,CHAT ,1
Protruding Eyes,CHAT ,1
Puncture Wound,CHAT ,1
Pustule,CHAT ,1
Queasy In The Mornings,CHAT ,1
Raised Skin Bump,CHAT ,1
Range Of Joint Movement Increased,CHAT ,1
Rapid Shallow Breathing,CHAT ,1
Rash On Genitals,CHAT ,1
Rashes,CHAT ,1
Rectal Hemorrhage,CHAT ,1
Rectal Itching,CHAT ,1
Red Eyes,CHAT ,1
Respiratory Obstruction,CHAT ,1
Rigor,CHAT ,1
Rough Voice,CHAT ,1
Runny Nose,CHAT ,1
Scalp Itchy,CHAT ,1
Scoliosis Deformity Of Spine,CHAT ,1
Fissured tongue,CHAT ,1
Self Rejection,CHAT ,1
Semen Bloody,CHAT ,1
Sensation Of Feeling Heart Beat,CHAT ,1
Sensitive To Cold,CHAT ,1
Sensitive To Criticism,CHAT ,1
Sensitive To Heat,CHAT ,1
Separation Anxiety,CHAT ,1
Severe Blood Loss,CHAT ,1
Severe Headache,CHAT ,1
Sexual Impotence,CHAT ,1
Shin Splints,CHAT ,1
Shock,CHAT ,1
Short Of Breath Lying Down,CHAT ,1
Short Stature,CHAT ,1
Shortness Of Breath On Exertion,CHAT ,1
Shyness,CHAT ,1
Sick To Stomach,CHAT ,1
Side Ache,CHAT ,1
Sinusitis,CHAT ,1
Skin Abscess,CHAT ,1
Skin Discolored,CHAT ,1
Skin Exfoliation,CHAT ,1
Skin Lesion,CHAT ,1
Skin Nodule,CHAT ,1
Skin Pruritus,CHAT ,1
Skin Rash,CHAT ,1
Skin Redness,CHAT ,1
Skull Fractures,CHAT ,1
Sleep Paralysis,CHAT ,1
Sleeplessness,CHAT ,1
Slow Movements,CHAT ,1
Slow Pulse,CHAT ,1
Small Jaw,CHAT ,1
Small Red Dots On Skin,CHAT ,1
Smelly Breath,CHAT ,1
Sob,CHAT ,1
Soft Spot - Bulging,CHAT ,1
Sore Knees,CHAT ,1
Sore Mouth,CHAT ,1
Sore Rib,CHAT ,1
Sore Throat,CHAT ,1
Sour Stomach,CHAT ,1
Speech Articulation Problems,CHAT ,1
Speech Impairment,CHAT ,1
Speech Problem,CHAT ,1
Spine Deformed,CHAT ,1
Splenomegaly,CHAT ,1
Spotting,CHAT ,1
Stertor,CHAT ,1
Sticky Skin,CHAT ,1
Stiff Muscles,CHAT ,1
Stinging Sensation In Eye,CHAT ,1
Stomach Bloat,CHAT ,1
Stools Floating,CHAT ,1
Stopped Breathing,CHAT ,1
Stretchy Skin,CHAT ,1
Stridor,CHAT ,1
Strong Pulse,CHAT ,1
Stuffy- Congested Nose,CHAT ,1
Stye,CHAT ,1
Sun Sensitivity,CHAT ,1
Sunken Fontanelle,CHAT ,1
Swallowing Disorder,CHAT ,1
Swayback,CHAT ,1
Sweating At Night,CHAT ,1
Swelling,CHAT ,1
Swelling Due To Excess Fluid,CHAT ,1
Swollen Ankle,CHAT ,1
Swollen Breast,CHAT ,1
Swollen Face,CHAT ,1
Swollen Gums,CHAT ,1
Swollen Joints,CHAT ,1
Swollen Lymph Nodes,CHAT ,1
Swollen Scrotum,CHAT ,1
Swollen Stomach,CHAT ,1
Tarry Stools,CHAT ,1
Teeth Grinding,CHAT ,1
Telling Untruths,CHAT ,1
Temper Tantrums,CHAT ,1
Tense Stomach,CHAT ,1
Testicular Pain,CHAT ,1
Testicular Swelling,CHAT ,1
Things Taste Different,CHAT ,1
Threatening Suicide,CHAT ,1
Throat Irritation,CHAT ,1
Throat Soreness,CHAT ,1
Thyroid Nodules,CHAT ,1
Toe Numbness,CHAT ,1
Toe Pain,CHAT ,1
Tongue Swelling,CHAT ,1
Tooth Decay,CHAT ,1
Tooth Deformity,CHAT ,1
Trouble Sleeping,CHAT ,1
Trouble Speaking,CHAT ,1
Truancy,CHAT ,1
Tumescence,CHAT ,1
Tummy Ache,CHAT ,1
Twitching,CHAT ,1
Unable To Concentrate,CHAT ,1
Unable To Control Bowel Movements,CHAT ,1
Unable To Control Emotions,CHAT ,1
Unable To Have A Bowel Movement,CHAT ,1
Unable To Keep Still,CHAT ,1
Unable To See,CHAT ,1
Unable To Smell,CHAT ,1
Unconscious,CHAT ,1
Uncontrolled Eye Movements,CHAT ,1
